nohup: ignoring input
cali1 2017 1
cali1 2017 2
cali1 2017 3
cali1 2017 4
cali1 2017 5
cali1 2017 6
cali1 2017 7
cali1 2017 8
cali1 2017 9
cali1 2017 10
cali1 2017 11
cali1 2017 12
cali2 2017 1
cali2 2017 2
cali2 2017 3
cali2 2017 4
cali2 2017 5
cali2 2017 6
cali2 2017 7
cali2 2017 8
cali2 2017 9
cali2 2017 10
cali2 2017 11
cali2 2017 12
cali3 2017 1
cali3 2017 2
cali3 2017 3
cali3 2017 4
cali3 2017 5
cali3 2017 6
cali3 2017 7
cali3 2017 8
cali3 2017 9
cali3 2017 10
cali3 2017 11
cali3 2017 12
cali4 2017 1
cali4 2017 2
cali4 2017 3
cali4 2017 4
cali4 2017 5
cali4 2017 6
cali4 2017 7
cali4 2017 8
cali4 2017 9
cali4 2017 10
cali4 2017 11
cali4 2017 12
cali5 2017 1
cali5 2017 2
cali5 2017 3
cali5 2017 4
cali5 2017 5
cali5 2017 6
cali5 2017 7
cali5 2017 8
cali5 2017 9
cali5 2017 10
cali5 2017 11
cali5 2017 12
cali6 2017 1
cali6 2017 2
cali6 2017 3
cali6 2017 4
cali6 2017 5
cali6 2017 6
cali6 2017 7
cali6 2017 8
cali6 2017 9
cali6 2017 10
cali6 2017 11
cali6 2017 12
cali7 2017 1
cali7 2017 2
cali7 2017 3
cali7 2017 4
cali7 2017 5
cali7 2017 6
cali7 2017 7
cali7 2017 8
cali7 2017 9
cali7 2017 10
cali7 2017 11
cali7 2017 12
cali8 2017 1
cali8 2017 2
cali8 2017 3
cali8 2017 4
cali8 2017 5
cali8 2017 6
cali8 2017 7
cali8 2017 8
cali8 2017 9
cali8 2017 10
cali8 2017 11
cali8 2017 12
cali9 2017 1
cali9 2017 2
cali9 2017 3
cali9 2017 4
cali9 2017 5
cali9 2017 6
cali9 2017 7
cali9 2017 8
cali9 2017 9
cali9 2017 10
cali9 2017 11
cali9 2017 12
cali10 2017 1
cali10 2017 2
cali10 2017 3
cali10 2017 4
cali10 2017 5
cali10 2017 6
cali10 2017 7
cali10 2017 8
cali10 2017 9
cali10 2017 10
cali10 2017 11
cali10 2017 12
cali11 2017 1
cali11 2017 2
cali11 2017 3
cali11 2017 4
cali11 2017 5
cali11 2017 6
cali11 2017 7
cali11 2017 8
cali11 2017 9
cali11 2017 10
cali11 2017 11
cali11 2017 12
cali12 2017 1
cali12 2017 2
cali12 2017 3
cali12 2017 4
cali12 2017 5
cali12 2017 6
cali12 2017 7
cali12 2017 8
cali12 2017 9
cali12 2017 10
cali12 2017 11
cali12 2017 12
wash1 2017 1
wash1 2017 2
wash1 2017 3
wash1 2017 4
wash1 2017 5
wash1 2017 6
wash1 2017 7
wash1 2017 8
wash1 2017 9
wash1 2017 10
wash1 2017 11
wash1 2017 12
wash2 2017 1
wash2 2017 2
wash2 2017 3
wash2 2017 4
wash2 2017 5
wash2 2017 6
wash2 2017 7
wash2 2017 8
wash2 2017 9
wash2 2017 10
wash2 2017 11
wash2 2017 12
wash3 2017 1
wash3 2017 2
wash3 2017 3
wash3 2017 4
wash3 2017 5
wash3 2017 6
wash3 2017 7
wash3 2017 8
wash3 2017 9
wash3 2017 10
wash3 2017 11
wash3 2017 12
wash4 2017 1
wash4 2017 2
wash4 2017 3
wash4 2017 4
wash4 2017 5
wash4 2017 6
wash4 2017 7
wash4 2017 8
wash4 2017 9
wash4 2017 10
wash4 2017 11
wash4 2017 12
wash5 2017 1
wash5 2017 2
wash5 2017 3
wash5 2017 4
wash5 2017 5
wash5 2017 6
wash5 2017 7
wash5 2017 8
wash5 2017 9
wash5 2017 10
wash5 2017 11
wash5 2017 12
wash6 2017 1
wash6 2017 2
wash6 2017 3
wash6 2017 4
wash6 2017 5
wash6 2017 6
wash6 2017 7
wash6 2017 8
wash6 2017 9
wash6 2017 10
wash6 2017 11
wash6 2017 12
wash7 2017 1
wash7 2017 2
wash7 2017 3
wash7 2017 4
wash7 2017 5
wash7 2017 6
wash7 2017 7
wash7 2017 8
wash7 2017 9
wash7 2017 10
wash7 2017 11
wash7 2017 12
wash8 2017 1
wash8 2017 2
wash8 2017 3
wash8 2017 4
wash8 2017 5
wash8 2017 6
wash8 2017 7
wash8 2017 8
wash8 2017 9
wash8 2017 10
wash8 2017 11
wash8 2017 12
wash9 2017 1
wash9 2017 2
wash9 2017 3
wash9 2017 4
wash9 2017 5
wash9 2017 6
wash9 2017 7
wash9 2017 8
wash9 2017 9
wash9 2017 10
wash9 2017 11
wash9 2017 12
ny1 2017 1
ny1 2017 2
ny1 2017 3
ny1 2017 4
ny1 2017 5
ny1 2017 6
ny1 2017 7
ny1 2017 8
ny1 2017 9
ny1 2017 10
ny1 2017 11
ny1 2017 12
ny2 2017 1
ny2 2017 2
ny2 2017 3
ny2 2017 4
ny2 2017 5
ny2 2017 6
ny2 2017 7
ny2 2017 8
ny2 2017 9
ny2 2017 10
ny2 2017 11
ny2 2017 12
ny3 2017 1
ny3 2017 2
ny3 2017 3
ny3 2017 4
ny3 2017 5
ny3 2017 6
ny3 2017 7
ny3 2017 8
ny3 2017 9
ny3 2017 10
ny3 2017 11
ny3 2017 12
ny4 2017 1
ny4 2017 2
ny4 2017 3
ny4 2017 4
ny4 2017 5
ny4 2017 6
ny4 2017 7
ny4 2017 8
